Date/Time,"Pitch, Roll, Yaw",Magnetometer,Coordinates,Ndvi Values
2022-04-12 22:23:12.850734,"{'roll': 225.9394648579559, 'pitch': 299.90682771987974, 'yaw': 225.19550699317978}",227.36992503621002,"{'latitude': '10/1,48/1,446/10', 'latitudeRef': 'N', 'longitude': '131/1,33/1,192/10', 'longitudeRef': 'E'}","[0.3602134119258652, 0.0870084565210233, 0.07899000082071768, 0.5450170363009242]"
2022-04-12 22:23:18.244520,"{'roll': 225.93945119757757, 'pitch': 299.90682088969055, 'yaw': 228.06391323701834}",230.03853458644735,"{'latitude': '11/1,22/1,176/10', 'latitudeRef': 'N', 'longitude': '131/1,58/1,151/10', 'longitudeRef': 'E'}",/
2022-04-12 22:23:21.246732,"{'roll': 225.9394648579559, 'pitch': 299.90682771987974, 'yaw': 230.69997010567138}",232.8149928236792,"{'latitude': '11/1,31/1,222/10', 'latitudeRef': 'N', 'longitude': '132/1,5/1,13/10', 'longitudeRef': 'E'}",/
2022-04-12 22:23:24.258242,"{'roll': 225.93942387682088, 'pitch': 299.9068072293122, 'yaw': 233.50230109947927}",235.4878234308236,"{'latitude': '11/1,40/1,281/10', 'latitudeRef': 'N', 'longitude': '132/1,11/1,490/10', 'longitudeRef': 'E'}",/
2022-04-12 22:23:32.959744,"{'roll': 225.93942387682088, 'pitch': 299.90682771987974, 'yaw': 236.15495532781546}",238.12101162002529,"{'latitude': '11/1,49/1,158/10', 'latitudeRef': 'N', 'longitude': '132/1,18/1,237/10', 'longitudeRef': 'E'}","[0.357873552756772, 0.07295331050991978, 0.07300879376966697, 0.5069629165269569]"
2022-04-12 22:23:38.258022,"{'roll': 225.93941021644255, 'pitch': 299.90683455006894, 'yaw': 238.76957906285298}",240.66035301003095,"{'latitude': '12/1,22/1,438/10', 'latitudeRef': 'N', 'longitude': '132/1,43/1,315/10', 'longitudeRef': 'E'}",/
2022-04-12 22:23:41.269602,"{'roll': 225.93942387682088, 'pitch': 299.90683455006894, 'yaw': 241.26642301584286}",243.0070557446856,"{'latitude': '12/1,31/1,486/10', 'latitudeRef': 'N', 'longitude': '132/1,50/1,221/10', 'longitudeRef': 'E'}",/
2022-04-12 22:23:44.272475,"{'roll': 225.93942387682088, 'pitch': 299.90682771987974, 'yaw': 243.5870071071114}",245.14090246404595,"{'latitude': '12/1,40/1,516/10', 'latitudeRef': 'N', 'longitude': '132/1,57/1,122/10', 'longitudeRef': 'E'}",/
2022-04-12 22:23:52.902542,"{'roll': 225.93942387682088, 'pitch': 299.90683455006894, 'yaw': 245.61465804525636}",247.1226477007793,"{'latitude': '12/1,49/1,379/10', 'latitudeRef': 'N', 'longitude': '133/1,3/1,502/10', 'longitudeRef': 'E'}","[0.3451050748286756, 0.07911555574637325, 0.07432037241361776, 0.537991306560937]"
2022-04-12 22:23:58.272864,"{'roll': 225.93941021644255, 'pitch': 299.90682771987974, 'yaw': 247.65385883328787}",249.24198026815338,"{'latitude': '13/1,23/1,5/10', 'latitudeRef': 'N', 'longitude': '133/1,29/1,111/10', 'longitudeRef': 'E'}",/
2022-04-12 22:24:01.284503,"{'roll': 225.93945119757757, 'pitch': 299.90683455006894, 'yaw': 249.74283803999043}",251.07373455071325,"{'latitude': '13/1,32/1,37/10', 'latitudeRef': 'N', 'longitude': '133/1,36/1,54/10', 'longitudeRef': 'E'}",/
2022-04-12 22:24:04.287080,"{'roll': 225.93943753719924, 'pitch': 299.90682088969055, 'yaw': 251.50577816666242}",252.84544464027954,"{'latitude': '13/1,41/1,53/10', 'latitudeRef': 'N', 'longitude': '133/1,42/1,592/10', 'longitudeRef': 'E'}",/
2022-04-12 22:24:12.924483,"{'roll': 225.93943753719924, 'pitch': 299.90682088969055, 'yaw': 253.30854512638476}",254.62910756089337,"{'latitude': '13/1,49/1,501/10', 'latitudeRef': 'N', 'longitude': '133/1,49/1,409/10', 'longitudeRef': 'E'}","[0.3362784132138658, 0.07121480766873227, 0.06038352815613935, 0.5027446648114069]"
2022-04-12 22:24:18.287666,"{'roll': 225.93945119757757, 'pitch': 299.90682088969055, 'yaw': 255.0251902308624}",256.23142212885415,"{'latitude': '14/1,23/1,68/10', 'latitudeRef': 'N', 'longitude': '134/1,15/1,161/10', 'longitudeRef': 'E'}",/
